w_0                   w_a                   w_p                   w_phi                 Omega_M               Omega_DE              x1                    x2                    y1                    y2                    c1                    c2                    u                     Lambda_1              Lambda_2              n                     
nan                   nan                   nan                   nan                   nan                   nan                   0.218333299067        4.72750723316e-14     0.129312976505        3.0860633211e-14      1.74703935026         1.75115452393         nan                   28.2259330131         10.108946064          15                    
-0.446749772587       -0.417692715789       -0.58598067785        -0.474877633491       0.714668167954        0.285331831347        0.0519410011825       2.73606030346e-14     0.0269807276165       1.8388605211e-14      1.84683926323         1.1114384189          2.64552086299e-05     33.5880042735         5.44538437526         15                    
-0.266146073647       -0.373591019383       -0.390676413441       -0.296806396746       0.781129157287        0.218870839721        0.205909553902        2.73256153788e-14     0.168988012412        1.51507590771e-14     1.58861103537         1.15046226616         5.47004544671e-05     18.181402761          9.07072862147         15                    
-0.158742585151       -0.377847822563       -0.284691859339       -0.198979468157       0.874369067801        0.125630931314        0.0699107569775       7.01174719036e-14     0.0397675264817       3.95081696964e-14     1.81966340196         1.79497474947         2.97549564153e-05     30.1843224719         14.4770217644         15                    
-0.12467337429        -0.305897749526       -0.226639290799       -0.158478352827       0.824402435482        0.175597563031        0.172508818898        8.88660748924e-14     0.144340154104        5.30367378357e-14     1.76719994076         1.83730592664         3.85663911308e-05     18.9740164693         13.0754359356         15                    
-0.0790044269337      -0.234897487366       -0.157303589389       -0.1058465139         0.87333491543         0.126665081993        0.247446608942        9.94008845847e-14     0.204131132972        5.31769302731e-14     1.4759064742          1.88216370077         5.07589645384e-05     17.227835163          17.0867892641         15                    
-0.222084833464       -0.223353211257       -0.296535903882       -0.24886261994        0.314474008131        0.685525984275        0.230394738326        6.27827660394e-14     0.210135335471        4.887155847e-14       1.73167628413         1.41051128023         8.71468950697e-05     16.7726691085         5.06979021561         15                    
-0.541116425582       -0.352182337748       -0.658510538165       -0.564838306094       0.523819124806        0.476180873995        0.122722340065        2.04504650885e-14     0.0781854572343       1.94133039397e-14     1.88245636564         1.51085848322         3.46172526389e-05     27.1259360018         3.22794696673         15                    
nan                   nan                   nan                   nan                   nan                   nan                   0.205434249974        4.4737106562e-14      0.143667559045        2.87635175506e-14     1.93797018778         1.85020203119         nan                   24.8141569119         11.1452685509         15                    
-0.704365355159       -0.0985811070944      -0.737225724191       -0.681721210395       0.558156332538        0.44184366692         0.0540579819786       1.8859136439e-14      0.0410424903781       1.64225172855e-14     1.09678019366         1.02866245746         2.32815545748e-05     15.7956086033         2.32270015466         15                    
nan                   nan                   nan                   nan                   nan                   nan                   0.278371438609        5.75522824058e-14     0.142928200133        4.19982298953e-14     1.74244528044         1.20440315304         nan                   32.9602795993         4.88284029836         15                    
-0.536051745632       -0.236979437235       -0.615044891377       -0.565161653835       0.143599471818        0.856400527136        0.155398482362        3.63857533283e-14     0.0970126891609       3.24011516965e-14     1.42375321314         1.01635384642         3.23418649663e-05     23.6798556139         2.11098480409         15                    
-0.360826719808       -0.0876781046561      -0.390052754693       -0.336402769084       0.831120514014        0.168879483917        0.0145729541741       2.23606715297e-14     0.0139556205606       1.34029537548e-14     1.08891689515         1.39812058843         4.54933165159e-05     11.0597055703         9.49251535384         15                    
-0.611930830202       0.0397467011807       -0.598681929808       -0.55151146741        0.884011736955        0.115988262275        0.0483704669801       1.33918343447e-14     0.0379261886795       8.38488209901e-15     1.72761098012         1.17791023923         2.77445997477e-05     20.2692642234         6.98430851388         15                    
-0.258427885112       -0.343763915896       -0.373015857077       -0.295909637108       0.499434645386        0.500565352919        0.00263805399457      6.66514752881e-14     0.00253355562232      4.70653937473e-14     1.91181390416         1.26753157169         4.11689873579e-05     16.72540982           5.67563792534         15                    
-0.412085266849       -0.322667084936       -0.519640961828       -0.434738384552       0.517677016325        0.48232298302         0.172744172375        4.13582658896e-14     0.161251466322        3.8914020096e-14      1.27249303775         1.83977735949         2.55828205626e-05     13.0709215221         4.36369340196         15                    
-0.154354758137       -0.338400187599       -0.26715482067        -0.191960179254       0.751750504247        0.248249494173        0.0896672450195       8.56141456635e-14     0.058410725057        5.29038228768e-14     1.30374854296         1.58410570253         3.97469072104e-05     21.3885689399         10.2197867115         15                    
-0.138316992775       -0.292282581271       -0.235744519866       -0.170091771356       0.750511909475        0.249488086087        0.174501625498        6.42521902862e-14     0.137403064502        4.19928483584e-14     1.01776281176         1.83931163884         6.6621788159e-05      14.2501450734         10.6651759201         15                    
nan                   nan                   nan                   nan                   nan                   nan                   0.249720444191        3.35029036345e-14     0.150077224537        3.23440957571e-14     1.34450225441         1.63240047969         nan                   23.9388554689         3.43967890631         15                    
-0.237027804958       -0.305694300287       -0.338925905054       -0.271511726617       0.452533624277        0.547466374234        0.0331000943845       8.96207635664e-14     0.0319265337838       7.12314533702e-14     1.56162375296         1.59509565335         3.85896802253e-05     14.4790939269         5.62754877164         15                    
nan                   nan                   nan                   nan                   nan                   nan                   0.192328071907        8.18888745508e-14     0.116484478722        5.7143865076e-14      1.80847855556         1.87417588246         nan                   28.0675194046         9.37172602425         15                    
-0.299437254903       -0.394603668305       -0.430971811005       -0.337418332494       0.614528172194        0.385471826483        0.0779379602926       4.67509047959e-14     0.0563448307902       2.96750092505e-14     1.38297920425         1.08749843523         3.63744365292e-05     19.5365256104         6.12013437366         15                    
-0.334651009959       -0.426814407916       -0.476922479264       -0.37420026945        0.644302418216        0.355697580611        0.0694377893128       3.89817968316e-14     0.0396039259852       3.36062187629e-14     1.52613433068         1.96418321371         3.42488316008e-05     27.3009460616         5.96078985761         15                    
-0.458040099569       -0.311949408253       -0.562023235654       -0.462125228444       0.823866468245        0.17613353089         0.00710417674665      2.20025554831e-14     0.00518596399607      1.63921028603e-14     1.9919826045          1.7163484212          2.94091005724e-05     23.9966455267         7.23214659602         15                    
-0.488750782391       -0.284893633097       -0.583715326756       -0.495744534864       0.628240542109        0.371759456326        0.2577238969          1.84664116657e-14     0.212949478576        1.40848081285e-14     1.2922818462          1.22088505584         3.95582322299e-05     15.7399684695         4.4216365626          15                    
